DateTime,Away,Home
"Tue, Oct 29, 2013 7:00 pm",Orlando Magic,Indiana Pacers
"Tue, Oct 29, 2013 10:30 pm",Los Angeles Clippers,Los Angeles Lakers
"Tue, Oct 29, 2013 8:00 pm",Chicago Bulls,Miami Heat
"Wed, Oct 30, 2013 7:00 pm",Brooklyn Nets,Cleveland Cavaliers
"Wed, Oct 30, 2013 8:30 pm",Atlanta Hawks,Dallas Mavericks
"Wed, Oct 30, 2013 7:30 pm",Washington Wizards,Detroit Pistons
"Wed, Oct 30, 2013 10:30 pm",Los Angeles Lakers,Golden State Warriors
"Wed, Oct 30, 2013 8:00 pm",Charlotte Bobcats,Houston Rockets
"Wed, Oct 30, 2013 8:00 pm",Orlando Magic,Minnesota Timberwolves
"Wed, Oct 30, 2013 8:00 pm",Indiana Pacers,New Orleans Pelicans
"Wed, Oct 30, 2013 7:30 pm",Milwaukee Bucks,New York Knicks
"Wed, Oct 30, 2013 7:00 pm",Miami Heat,Philadelphia 76ers
"Wed, Oct 30, 2013 10:00 pm",Portland Trail Blazers,Phoenix Suns
"Wed, Oct 30, 2013 10:00 pm",Denver Nuggets,Sacramento Kings
"Wed, Oct 30, 2013 8:30 pm",Memphis Grizzlies,San Antonio Spurs
"Wed, Oct 30, 2013 7:00 pm",Boston Celtics,Toronto Raptors
"Wed, Oct 30, 2013 9:00 pm",Oklahoma City Thunder,Utah Jazz
"Thu, Oct 31, 2013 8:00 pm",New York Knicks,Chicago Bulls
"Thu, Oct 31, 2013 10:30 pm",Golden State Warriors,Los Angeles Clippers
"Fri, Nov 1, 2013 7:30 pm",Toronto Raptors,Atlanta Hawks
"Fri, Nov 1, 2013 7:30 pm",Milwaukee Bucks,Boston Celtics
"Fri, Nov 1, 2013 8:00 pm",Miami Heat,Brooklyn Nets
"Fri, Nov 1, 2013 7:00 pm",Cleveland Cavaliers,Charlotte Bobcats
"Fri, Nov 1, 2013 9:00 pm",Portland Trail Blazers,Denver Nuggets
"Fri, Nov 1, 2013 8:00 pm",Dallas Mavericks,Houston Rockets
"Fri, Nov 1, 2013 10:30 pm",San Antonio Spurs,Los Angeles Lakers
"Fri, Nov 1, 2013 8:00 pm",Detroit Pistons,Memphis Grizzlies
"Fri, Nov 1, 2013 8:00 pm",Oklahoma City Thunder,Minnesota Timberwolves
