DateTime,Away,Home,Arena
2017-10-17 20:01:00,Boston Celtics,Cleveland Cavaliers,Quicken Loans Arena
2017-10-17 22:30:00,Houston Rockets,Golden State Warriors,Oracle Arena
2017-10-18 19:00:00,Charlotte Hornets,Detroit Pistons,Little Caesars Arena
2017-10-18 19:00:00,Brooklyn Nets,Indiana Pacers,Bankers Life Fieldhouse
2017-10-18 19:00:00,Miami Heat,Orlando Magic,Amway Center
2017-10-18 19:00:00,Philadelphia 76ers,Washington Wizards,Capital One Arena
2017-10-18 19:30:00,Milwaukee Bucks,Boston Celtics,TD Garden
2017-10-18 20:00:00,New Orleans Pelicans,Memphis Grizzlies,FedExForum
2017-10-18 20:30:00,Atlanta Hawks,Dallas Mavericks,American Airlines Center
2017-10-18 21:00:00,Denver Nuggets,Utah Jazz,Vivint Smart Home Arena
2017-10-18 21:30:00,Minnesota Timberwolves,San Antonio Spurs,AT&T Center
2017-10-18 22:00:00,Portland Trail Blazers,Phoenix Suns,Talking Stick Resort Arena
2017-10-18 22:00:00,Houston Rockets,Sacramento Kings,Golden 1 Center
2017-10-19 19:30:00,Chicago Bulls,Toronto Raptors,Air Canada Centre
2017-10-19 20:00:00,New York Knicks,Oklahoma City Thunder,Chesapeake Energy Arena
2017-10-19 22:30:00,Los Angeles Clippers,Los Angeles Lakers,Staples Center
2017-10-20 19:00:00,Atlanta Hawks,Charlotte Hornets,Spectrum Center
2017-10-20 19:00:00,Detroit Pistons,Washington Wizards,Capital One Arena
2017-10-20 19:00:00,Portland Trail Blazers,Indiana Pacers,Bankers Life Fieldhouse
2017-10-20 19:00:00,Cleveland Cavaliers,Milwaukee Bucks,BMO Harris Bradley Center
2017-10-20 19:00:00,Boston Celtics,Philadelphia 76ers,Wells Fargo Center
2017-10-20 19:30:00,Orlando Magic,Brooklyn Nets,Barclays Center
2017-10-20 20:00:00,Utah Jazz,Minnesota Timberwolves,Target Center
2017-10-20 20:30:00,Sacramento Kings,Dallas Mavericks,American Airlines Center
2017-10-20 21:30:00,Golden State Warriors,New Orleans Pelicans,Smoothie King Center
2017-10-20 22:00:00,Los Angeles Lakers,Phoenix Suns,Talking Stick Resort Arena
2017-10-21 19:30:00,Philadelphia 76ers,Toronto Raptors,Air Canada Centre
2017-10-21 20:00:00,San Antonio Spurs,Chicago Bulls,United Center
2017-10-21 20:00:00,Orlando Magic,Cleveland Cavaliers,Quicken Loans Arena
2017-10-21 20:00:00,Dallas Mavericks,Houston Rockets,Toyota Center
2017-10-21 20:00:00,Golden State Warriors,Memphis Grizzlies,FedExForum
2017-10-21 20:00:00,Indiana Pacers,Miami Heat,AmericanAirlines Arena
2017-10-21 20:00:00,Detroit Pistons,New York Knicks,Madison Square Garden
2017-10-21 20:30:00,Portland Trail Blazers,Milwaukee Bucks,BMO Harris Bradley Center
2017-10-21 21:00:00,Oklahoma City Thunder,Utah Jazz,Vivint Smart Home Arena
2017-10-21 21:00:00,Sacramento Kings,Denver Nuggets,Pepsi Center
2017-10-21 22:30:00,Phoenix Suns,Los Angeles Clippers,Staples Center
2017-10-22 15:30:00,Atlanta Hawks,Brooklyn Nets,Barclays Center
2017-10-22 19:00:00,Minnesota Timberwolves,Oklahoma City Thunder,Chesapeake Energy Arena
2017-10-22 21:30:00,New Orleans Pelicans,Los Angeles Lakers,Staples Center
2017-10-23 19:00:00,Philadelphia 76ers,Detroit Pistons,Little Caesars Arena
2017-10-23 19:30:00,Atlanta Hawks,Miami Heat,AmericanAirlines Arena
2017-10-23 20:00:00,Memphis Grizzlies,Houston Rockets,Toyota Center
2017-10-23 20:00:00,Charlotte Hornets,Milwaukee Bucks,BMO Harris Bradley Center
2017-10-23 20:30:00,Golden State Warriors,Dallas Mavericks,American Airlines Center
2017-10-23 20:30:00,Toronto Raptors,San Antonio Spurs,AT&T Center
2017-10-23 21:00:00,Washington Wizards,Denver Nuggets,Pepsi Center
2017-10-23 22:00:00,Sacramento Kings,Phoenix Suns,Talking Stick Resort Arena
2017-10-24 19:00:00,Chicago Bulls,Cleveland Cavaliers,Quicken Loans Arena
2017-10-24 19:00:00,Brooklyn Nets,Orlando Magic,Amway Center
2017-10-24 19:30:00,New York Knicks,Boston Celtics,TD Garden
2017-10-24 20:00:00,Indiana Pacers,Minnesota Timberwolves,Target Center
2017-10-24 22:00:00,New Orleans Pelicans,Portland Trail Blazers,Moda Center
2017-10-24 22:30:00,Utah Jazz,Los Angeles Clippers,Staples Center
2017-10-25 19:00:00,Houston Rockets,Philadelphia 76ers,Wells Fargo Center
2017-10-25 19:00:00,Minnesota Timberwolves,Detroit Pistons,Little Caesars Arena
2017-10-25 19:00:00,Denver Nuggets,Charlotte Hornets,Spectrum Center
2017-10-25 19:30:00,Cleveland Cavaliers,Brooklyn Nets,Barclays Center
2017-10-25 20:00:00,San Antonio Spurs,Miami Heat,AmericanAirlines Arena
2017-10-25 20:00:00,Indiana Pacers,Oklahoma City Thunder,Chesapeake Energy Arena
2017-10-25 20:30:00,Memphis Grizzlies,Dallas Mavericks,American Airlines Center
2017-10-25 22:00:00,Utah Jazz,Phoenix Suns,Talking Stick Resort Arena
2017-10-25 22:30:00,Washington Wizards,Los Angeles Lakers,Staples Center
2017-10-25 22:30:00,Toronto Raptors,Golden State Warriors,Oracle Arena
2017-10-26 20:00:00,Atlanta Hawks,Chicago Bulls,United Center
2017-10-26 20:00:00,Dallas Mavericks,Memphis Grizzlies,FedExForum
2017-10-26 20:00:00,Boston Celtics,Milwaukee Bucks,BMO Harris Bradley Center
2017-10-26 22:00:00,Los Angeles Clippers,Portland Trail Blazers,Moda Center
2017-10-26 22:30:00,New Orleans Pelicans,Sacramento Kings,Golden 1 Center
2017-10-27 19:00:00,San Antonio Spurs,Orlando Magic,Amway Center
2017-10-27 19:00:00,Houston Rockets,Charlotte Hornets,Spectrum Center
2017-10-27 19:30:00,Denver Nuggets,Atlanta Hawks,Philips Arena
2017-10-27 19:30:00,Brooklyn Nets,New York Knicks,Madison Square Garden
2017-10-27 20:00:00,Oklahoma City Thunder,Minnesota Timberwolves,Target Center
2017-10-27 22:30:00,Washington Wizards,Golden State Warriors,Oracle Arena
2017-10-27 22:30:00,Toronto Raptors,Los Angeles Lakers,Staples Center
